1,1,post 1: esto es malo,2020-06-29
2,5,post 2: esto es malo,2020-06-20
3,1,post 3: esto es excelente,2020-05-30
4,9,post 4: esto es bueno,2020-05-09
5,7,post 5: esto es bueno,2020-07-10
6,5,post 6: esto es excelente,2020-07-18
7,8,post 7: esto es excelente,2020-07-07
8,5,Post 8: Esto es excelente,2020-05-14
9,2,Post 9: Esto es bueno,2020-05-08
10,6,Post 10: Esto es bueno,2020-06-02
11,4,Post 11: Esto es bueno,2020-05-05
12,9,Post 12: Esto es malo,2020-07-23
13,5,Post 13: Esto es excelente,2020-05-30
14,8,Post 14: Esto es excelente,2020-05-01
15,7,Post 15: Esto es malo,2020-06-17
